drive_id,start_yardline,start_time_left,start_posteam_score,start_defteam_score,drive_result,time_elapsed,posteam_score_change,defteam_score_change,next_drive_start_yardline
2016_01_DET_IND_18,94,758.0,21.0,28.0,TOUCHDOWN,259.0,7.0,0.0,75.0
2016_01_DET_IND_19,75,499.0,28.0,28.0,TOUCHDOWN,255.0,6.0,0.0,75.0
2016_01_DET_IND_20,75,244.0,28.0,34.0,TOUCHDOWN,207.0,7.0,0.0,75.0
2016_01_DET_IND_21,75,37.0,34.0,35.0,FIELD_GOAL,29.0,3.0,0.0,25.0
2016_01_GB_JAX_1,82,3596.0,0.0,0.0,INTERCEPTION,123.0,0.0,0.0,29.0
2016_01_GB_JAX_2,29,3461.0,0.0,0.0,TOUCHDOWN,185.0,7.0,0.0,75.0
2016_01_GB_JAX_3,75,3276.0,0.0,7.0,PUNT,210.0,0.0,0.0,97.0
2016_01_GB_JAX_4,97,3056.0,7.0,0.0,PUNT,40.0,0.0,0.0,48.0
2016_01_GB_JAX_5,48,3004.0,0.0,7.0,TOUCHDOWN,84.0,7.0,0.0,75.0
2016_01_GB_JAX_6,75,2920.0,7.0,7.0,PUNT,83.0,0.0,0.0,79.0
2016_01_GB_JAX_7,79,2830.0,7.0,7.0,PUNT,121.0,0.0,0.0,97.0
2016_01_GB_JAX_8,97,2700.0,7.0,7.0,PUNT,69.0,0.0,0.0,53.0
2016_01_GB_JAX_9,53,2620.0,7.0,7.0,FIELD_GOAL,348.0,3.0,0.0,75.0
2016_01_GB_JAX_10,75,2268.0,7.0,10.0,TOUCHDOWN,283.0,7.0,0.0,75.0
2016_01_GB_JAX_11,75,1985.0,10.0,14.0,TOUCHDOWN,116.0,7.0,0.0,75.0
2016_01_GB_JAX_12,75,1869.0,14.0,17.0,TOUCHDOWN,56.0,7.0,0.0,75.0
2016_01_GB_JAX_13,75,1813.0,17.0,21.0,END_HALF,0.0,0.0,0.0,75.0
2016_01_GB_JAX_14,75,1800.0,21.0,17.0,FIELD_GOAL,286.0,3.0,0.0,75.0
2016_01_GB_JAX_15,75,1512.0,17.0,24.0,FIELD_GOAL,233.0,3.0,0.0,75.0
2016_01_GB_JAX_16,75,1275.0,24.0,20.0,FIELD_GOAL,551.0,3.0,0.0,69.0
2016_01_GB_JAX_17,69,712.0,20.0,27.0,FIELD_GOAL,395.0,3.0,0.0,82.0
2016_01_GB_JAX_18,82,305.0,27.0,23.0,PUNT,102.0,0.0,0.0,63.0
2016_01_GB_JAX_19,63,197.0,23.0,27.0,DOWNS,174.0,0.0,0.0,85.0
2016_01_GB_JAX_20,85,14.0,27.0,23.0,END_GAME,0.0,0.0,0.0,85.0
2016_01_LA_SF_1,75,3600.0,0.0,0.0,PUNT,212.0,0.0,0.0,82.0
2016_01_LA_SF_2,82,3380.0,0.0,0.0,PUNT,138.0,0.0,0.0,91.0
2016_01_LA_SF_3,91,3235.0,0.0,0.0,PUNT,122.0,0.0,0.0,52.0
2016_01_LA_SF_4,52,3102.0,0.0,0.0,TOUCHDOWN,198.0,7.0,0.0,79.0
2016_01_LA_SF_5,79,2899.0,0.0,7.0,PUNT,88.0,0.0,0.0,77.0
2016_01_LA_SF_6,77,2804.0,7.0,0.0,DOWNS,151.0,0.0,0.0,64.0
2016_01_LA_SF_7,64,2650.0,0.0,7.0,INTERCEPTION,183.0,0.0,0.0,59.0
2016_01_LA_SF_8,59,2460.0,7.0,0.0,TOUCHDOWN,54.0,0.0,0.0,21.0
2016_01_LA_SF_9,21,2377.0,7.0,0.0,PUNT,243.0,-7.0,14.0,90.0
2016_01_LA_SF_10,90,2126.0,14.0,0.0,FUMBLE,116.0,0.0,0.0,61.0
2016_01_LA_SF_11,61,1997.0,0.0,14.0,PUNT,46.0,0.0,0.0,80.0
2016_01_LA_SF_12,80,1944.0,14.0,0.0,PUNT,68.0,0.0,0.0,61.0
2016_01_LA_SF_13,61,1867.0,0.0,14.0,PUNT,45.0,0.0,0.0,74.0
2016_01_LA_SF_14,74,1816.0,14.0,0.0,END_HALF,0.0,0.0,0.0,75.0
2016_01_LA_SF_15,75,1800.0,14.0,0.0,PUNT,104.0,0.0,0.0,59.0
2016_01_LA_SF_16,59,1684.0,0.0,14.0,PUNT,108.0,0.0,0.0,82.0
2016_01_LA_SF_17,82,1568.0,14.0,0.0,PUNT,42.0,0.0,0.0,83.0
2016_01_LA_SF_18,83,1516.0,0.0,14.0,PUNT,55.0,0.0,0.0,65.0
2016_01_LA_SF_19,65,1449.0,14.0,0.0,PUNT,85.0,0.0,0.0,72.0
2016_01_LA_SF_20,72,1356.0,0.0,14.0,PUNT,145.0,0.0,0.0,84.0
2016_01_LA_SF_21,84,1203.0,14.0,0.0,PUNT,56.0,0.0,0.0,38.0
2016_01_LA_SF_22,38,1132.0,0.0,14.0,INTERCEPTION,162.0,0.0,0.0,77.0
2016_01_LA_SF_23,77,962.0,14.0,0.0,TOUCHDOWN,235.0,7.0,0.0,75.0
2016_01_LA_SF_24,75,727.0,0.0,21.0,PUNT,54.0,0.0,0.0,80.0
2016_01_LA_SF_25,80,665.0,21.0,0.0,TOUCHDOWN,351.0,7.0,0.0,72.0
2016_01_LA_SF_26,72,307.0,0.0,28.0,DOWNS,146.0,0.0,0.0,81.0
2016_01_LA_SF_27,81,153.0,28.0,0.0,PUNT,122.0,0.0,0.0,56.0
2016_01_LA_SF_28,56,24.0,0.0,28.0,END_GAME,0.0,0.0,0.0,56.0
2016_01_MIA_SEA_1,75,3600.0,0.0,0.0,PUNT,109.0,0.0,0.0,81.0
2016_01_MIA_SEA_2,81,3483.0,0.0,0.0,PUNT,96.0,0.0,0.0,67.0
2016_01_MIA_SEA_3,67,3379.0,0.0,0.0,FIELD_GOAL,364.0,3.0,0.0,80.0
2016_01_MIA_SEA_4,80,3005.0,0.0,3.0,DOWNS,224.0,0.0,0.0,83.0
2016_01_MIA_SEA_5,83,2769.0,3.0,0.0,PUNT,109.0,0.0,0.0,71.0
2016_01_MIA_SEA_6,71,2649.0,0.0,3.0,PUNT,89.0,0.0,0.0,82.0
2016_01_MIA_SEA_7,82,2546.0,3.0,0.0,INTERCEPTION,85.0,0.0,0.0,42.0
2016_01_MIA_SEA_8,42,2451.0,0.0,3.0,FIELD_GOAL,122.0,3.0,0.0,75.0
2016_01_MIA_SEA_9,75,2325.0,3.0,3.0,PUNT,173.0,0.0,0.0,73.0
2016_01_MIA_SEA_10,73,2140.0,3.0,3.0,PUNT,70.0,0.0,0.0,80.0
2016_01_MIA_SEA_11,80,2061.0,3.0,3.0,PUNT,43.0,0.0,0.0,62.0
2016_01_MIA_SEA_12,62,2008.0,3.0,3.0,PUNT,88.0,0.0,0.0,92.0
2016_01_MIA_SEA_13,92,1912.0,3.0,3.0,FIELD_GOAL,108.0,3.0,0.0,59.0
2016_01_MIA_SEA_14,59,1791.0,3.0,6.0,PUNT,115.0,0.0,0.0,81.0
2016_01_MIA_SEA_15,81,1663.0,6.0,3.0,PUNT,190.0,0.0,0.0,74.0
2016_01_MIA_SEA_16,74,1462.0,3.0,6.0,PUNT,72.0,0.0,0.0,51.0
2016_01_MIA_SEA_17,51,1378.0,6.0,3.0,DOWNS,176.0,0.0,0.0,69.0
2016_01_MIA_SEA_18,69,1198.0,3.0,6.0,PUNT,86.0,0.0,0.0,89.0
2016_01_MIA_SEA_19,89,1105.0,6.0,3.0,FUMBLE,205.0,0.0,0.0,36.0
2016_01_MIA_SEA_20,36,893.0,3.0,6.0,MISSED_FG,248.0,0.0,0.0,80.0
2016_01_MIA_SEA_21,80,641.0,6.0,3.0,PUNT,204.0,0.0,0.0,86.0
2016_01_MIA_SEA_22,86,429.0,3.0,6.0,TOUCHDOWN,181.0,7.0,0.0,75.0
2016_01_MIA_SEA_23,75,248.0,6.0,10.0,TOUCHDOWN,217.0,6.0,0.0,82.0
2016_01_MIA_SEA_24,82,26.0,10.0,12.0,END_GAME,26.0,0.0,0.0,91.0
2016_01_MIN_TEN_1,71,3594.0,0.0,0.0,PUNT,259.0,0.0,0.0,80.0
2016_01_MIN_TEN_2,80,3326.0,0.0,0.0,PUNT,64.0,0.0,0.0,63.0
2016_01_MIN_TEN_3,63,3249.0,0.0,0.0,FIELD_GOAL,259.0,3.0,0.0,75.0
2016_01_MIN_TEN_4,75,2985.0,0.0,3.0,MISSED_FG,447.0,0.0,0.0,73.0
2016_01_MIN_TEN_5,73,2533.0,3.0,0.0,PUNT,252.0,0.0,0.0,90.0
2016_01_MIN_TEN_6,90,2273.0,0.0,3.0,PUNT,170.0,0.0,0.0,73.0
2016_01_MIN_TEN_7,73,2095.0,3.0,0.0,TOUCHDOWN,254.0,7.0,0.0,75.0
2016_01_MIN_TEN_8,75,1841.0,0.0,10.0,MISSED_FG,38.0,0.0,0.0,34.0
2016_01_MIN_TEN_9,34,1789.0,0.0,10.0,FIELD_GOAL,48.0,3.0,0.0,80.0
2016_01_MIN_TEN_10,80,1731.0,10.0,3.0,PUNT,132.0,0.0,0.0,73.0
2016_01_MIN_TEN_11,73,1590.0,3.0,10.0,FIELD_GOAL,326.0,3.0,0.0,66.0
2016_01_MIN_TEN_12,66,1253.0,10.0,6.0,INTERCEPTION,255.0,0.0,6.0,75.0
2016_01_MIN_TEN_13,75,984.0,10.0,12.0,PUNT,49.0,0.0,0.0,69.0
2016_01_MIN_TEN_14,69,922.0,12.0,10.0,FIELD_GOAL,240.0,3.0,0.0,75.0
2016_01_MIN_TEN_15,75,671.0,10.0,15.0,FUMBLE,0.0,0.0,6.0,75.0
