game_id,play_id,season,return_touchdown,starting_field_position,time_elapsed
2001_02_WAS_GB,497.0,2001,0.0,60.0,13.0
2001_02_WAS_GB,1341.0,2001,0.0,76.0,9.0
2001_02_WAS_GB,1740.0,2001,0.0,77.0,10.0
2001_02_WAS_GB,1921.0,2001,0.0,62.0,10.0
2001_02_WAS_GB,2287.0,2001,0.0,73.0,9.0
2001_02_WAS_GB,2650.0,2001,0.0,82.0,9.0
2001_02_WAS_GB,3127.0,2001,1.0,2.0,15.0
2001_02_WAS_GB,3176.0,2001,0.0,69.0,10.0
2001_03_ATL_ARI,47.0,2001,0.0,80.0,6.0
2001_03_ATL_ARI,419.0,2001,0.0,71.0,10.0
2001_03_ATL_ARI,642.0,2001,0.0,73.0,12.0
2001_03_ATL_ARI,1864.0,2001,0.0,80.0,0.0
2001_03_ATL_ARI,1974.0,2001,0.0,80.0,0.0
2001_03_ATL_ARI,2161.0,2001,0.0,70.0,13.0
2001_03_ATL_ARI,2537.0,2001,0.0,60.0,6.0
2001_03_ATL_ARI,2883.0,2001,0.0,85.0,12.0
2001_03_ATL_ARI,3090.0,2001,0.0,80.0,5.0
2001_03_ATL_ARI,3296.0,2001,0.0,45.0,5.0
2001_03_BAL_DEN,35.0,2001,0.0,80.0,6.0
2001_03_BAL_DEN,116.0,2001,0.0,84.0,9.0
2001_03_BAL_DEN,667.0,2001,0.0,65.0,10.0
2001_03_BAL_DEN,852.0,2001,0.0,83.0,10.0
2001_03_BAL_DEN,1182.0,2001,0.0,63.0,13.0
2001_03_BAL_DEN,1971.0,2001,0.0,66.0,11.0
2001_03_BAL_DEN,2250.0,2001,0.0,83.0,9.0
2001_03_BAL_DEN,2516.0,2001,0.0,65.0,12.0
2001_03_BAL_DEN,3088.0,2001,0.0,76.0,10.0
2001_03_CIN_SD,35.0,2001,0.0,79.0,9.0
2001_03_CIN_SD,1042.0,2001,0.0,84.0,10.0
2001_03_CIN_SD,1743.0,2001,0.0,74.0,6.0
2001_03_CIN_SD,1802.0,2001,0.0,75.0,22.0
2001_03_CIN_SD,2235.0,2001,0.0,80.0,8.0
2001_03_CIN_SD,2416.0,2001,0.0,69.0,14.0
2001_03_CIN_SD,2680.0,2001,0.0,80.0,8.0
2001_03_CIN_SD,3453.0,2001,0.0,56.0,0.0
2001_03_CLE_JAX,43.0,2001,0.0,71.0,8.0
2001_03_CLE_JAX,313.0,2001,0.0,74.0,10.0
2001_03_CLE_JAX,1611.0,2001,0.0,77.0,9.0
2001_03_CLE_JAX,1993.0,2001,0.0,58.0,4.0
2001_03_CLE_JAX,2067.0,2001,0.0,69.0,9.0
2001_03_CLE_JAX,2294.0,2001,0.0,67.0,11.0
2001_03_CLE_JAX,2393.0,2001,0.0,83.0,10.0
2001_03_CLE_JAX,3511.0,2001,0.0,97.0,12.0
2001_03_CLE_JAX,4022.0,2001,0.0,63.0,7.0
2001_03_DAL_PHI,35.0,2001,0.0,20.0,9.0
2001_03_DAL_PHI,183.0,2001,0.0,77.0,10.0
2001_03_DAL_PHI,514.0,2001,0.0,62.0,11.0
2001_03_DAL_PHI,743.0,2001,0.0,74.0,11.0
2001_03_DAL_PHI,1121.0,2001,0.0,79.0,10.0
2001_03_DAL_PHI,1457.0,2001,0.0,64.0,10.0
2001_03_DAL_PHI,1738.0,2001,0.0,27.0,14.0
2001_03_DAL_PHI,1862.0,2001,0.0,80.0,6.0
2001_03_DAL_PHI,2265.0,2001,0.0,75.0,7.0
2001_03_DAL_PHI,2324.0,2001,0.0,60.0,6.0
2001_03_DAL_PHI,2665.0,2001,0.0,70.0,10.0
2001_03_DAL_PHI,3835.0,2001,0.0,41.0,3.0
2001_03_DAL_PHI,4101.0,2001,0.0,43.0,0.0
2001_03_GB_CAR,35.0,2001,0.0,80.0,5.0
2001_03_GB_CAR,934.0,2001,0.0,81.0,10.0
2001_03_GB_CAR,1312.0,2001,0.0,78.0,8.0
2001_03_GB_CAR,1931.0,2001,0.0,38.0,11.0
2001_03_GB_CAR,2086.0,2001,0.0,38.0,10.0
2001_03_GB_CAR,2346.0,2001,0.0,63.0,10.0
2001_03_GB_CAR,2962.0,2001,0.0,76.0,9.0
2001_03_IND_NE,35.0,2001,0.0,72.0,9.0
2001_03_IND_NE,683.0,2001,0.0,61.0,8.0
2001_03_IND_NE,1400.0,2001,0.0,77.0,9.0
2001_03_IND_NE,1679.0,2001,0.0,77.0,4.0
2001_03_IND_NE,1962.0,2001,0.0,69.0,8.0
2001_03_IND_NE,2292.0,2001,0.0,70.0,9.0
2001_03_IND_NE,2749.0,2001,0.0,62.0,9.0
2001_03_IND_NE,2901.0,2001,0.0,80.0,6.0
2001_03_IND_NE,2972.0,2001,0.0,54.0,9.0
2001_03_IND_NE,3340.0,2001,0.0,52.0,8.0
2001_03_IND_NE,3573.0,2001,0.0,86.0,10.0
2001_03_KC_WAS,35.0,2001,0.0,76.0,0.0
2001_03_KC_WAS,541.0,2001,0.0,91.0,0.0
2001_03_KC_WAS,1100.0,2001,0.0,79.0,0.0
2001_03_KC_WAS,1435.0,2001,0.0,57.0,0.0
2001_03_KC_WAS,1524.0,2001,0.0,60.0,0.0
2001_03_KC_WAS,1695.0,2001,0.0,72.0,6.0
2001_03_KC_WAS,1874.0,2001,0.0,88.0,4.0
2001_03_KC_WAS,1947.0,2001,0.0,66.0,0.0
2001_03_KC_WAS,2193.0,2001,0.0,75.0,0.0
2001_03_KC_WAS,2425.0,2001,0.0,66.0,12.0
2001_03_KC_WAS,2745.0,2001,0.0,80.0,8.0
2001_03_KC_WAS,3012.0,2001,0.0,51.0,16.0
2001_03_MIA_STL,35.0,2001,0.0,76.0,8.0
2001_03_MIA_STL,331.0,2001,0.0,78.0,12.0
2001_03_MIA_STL,723.0,2001,0.0,80.0,9.0
2001_03_MIA_STL,1237.0,2001,0.0,70.0,9.0
2001_03_MIA_STL,1553.0,2001,0.0,68.0,10.0
2001_03_MIA_STL,1886.0,2001,0.0,67.0,13.0
2001_03_MIA_STL,2378.0,2001,0.0,75.0,9.0
2001_03_MIA_STL,2954.0,2001,0.0,85.0,10.0
2001_03_MIA_STL,3202.0,2001,0.0,54.0,12.0
2001_03_NO_NYG,44.0,2001,0.0,23.0,15.0
2001_03_NO_NYG,1592.0,2001,0.0,70.0,9.0
2001_03_NO_NYG,1858.0,2001,0.0,65.0,8.0
2001_03_NO_NYG,2195.0,2001,0.0,87.0,37.0
2001_03_NO_NYG,3603.0,2001,0.0,40.0,5.0
2001_03_NO_NYG,3752.0,2001,0.0,58.0,10.0
2001_03_NO_NYG,3888.0,2001,0.0,49.0,14.0
2001_03_PIT_BUF,35.0,2001,0.0,80.0,6.0
2001_03_PIT_BUF,1527.0,2001,0.0,55.0,8.0
2001_03_PIT_BUF,1922.0,2001,0.0,76.0,5.0
2001_03_PIT_BUF,1985.0,2001,0.0,80.0,5.0
2001_03_PIT_BUF,2993.0,2001,0.0,69.0,10.0
2001_03_SEA_OAK,44.0,2001,0.0,77.0,9.0
2001_03_SEA_OAK,583.0,2001,0.0,85.0,9.0
2001_03_SEA_OAK,1422.0,2001,0.0,76.0,11.0
2001_03_SEA_OAK,1506.0,2001,0.0,83.0,11.0
2001_03_SEA_OAK,1890.0,2001,0.0,76.0,6.0
2001_03_SEA_OAK,2194.0,2001,0.0,87.0,9.0
2001_03_SEA_OAK,2393.0,2001,0.0,80.0,7.0
2001_03_SEA_OAK,2595.0,2001,0.0,80.0,0.0
2001_03_SEA_OAK,2818.0,2001,0.0,85.0,10.0
2001_03_SEA_OAK,3660.0,2001,0.0,72.0,11.0
2001_03_SF_NYJ,77.0,2001,0.0,78.0,10.0
2001_03_SF_NYJ,695.0,2001,0.0,69.0,12.0
2001_03_SF_NYJ,942.0,2001,0.0,75.0,9.0
2001_03_SF_NYJ,1391.0,2001,0.0,63.0,10.0
2001_03_SF_NYJ,1793.0,2001,0.0,71.0,0.0
2001_03_SF_NYJ,2035.0,2001,0.0,34.0,0.0
2001_03_SF_NYJ,2254.0,2001,0.0,50.0,0.0
2001_03_SF_NYJ,2819.0,2001,0.0,53.0,12.0
2001_03_SF_NYJ,3445.0,2001,0.0,40.0,0.0
2001_03_TB_MIN,53.0,2001,0.0,75.0,9.0
2001_03_TB_MIN,414.0,2001,0.0,80.0,6.0
2001_03_TB_MIN,711.0,2001,0.0,69.0,10.0
2001_03_TB_MIN,1259.0,2001,0.0,72.0,0.0
2001_03_TB_MIN,1508.0,2001,0.0,78.0,0.0
2001_03_TB_MIN,1579.0,2001,0.0,86.0,12.0
2001_03_TB_MIN,2007.0,2001,0.0,80.0,0.0
2001_03_TB_MIN,2314.0,2001,0.0,75.0,10.0
2001_03_TB_MIN,2550.0,2001,0.0,78.0,10.0
2001_03_TB_MIN,3272.0,2001,0.0,75.0,4.0
2001_04_ARI_PHI,35.0,2001,0.0,80.0,4.0
2001_04_ARI_PHI,123.0,2001,0.0,80.0,5.0
2001_04_ARI_PHI,671.0,2001,0.0,83.0,10.0
2001_04_ARI_PHI,1234.0,2001,0.0,71.0,8.0
2001_04_ARI_PHI,1962.0,2001,0.0,76.0,8.0
2001_04_ARI_PHI,3789.0,2001,0.0,74.0,4.0
2001_04_CAR_SF,35.0,2001,0.0,74.0,9.0
2001_04_CAR_SF,986.0,2001,0.0,67.0,12.0
2001_04_CAR_SF,1690.0,2001,0.0,69.0,7.0
2001_04_CAR_SF,2011.0,2001,0.0,70.0,10.0
2001_04_CAR_SF,2167.0,2001,0.0,67.0,11.0
2001_04_CAR_SF,2384.0,2001,0.0,86.0,12.0
2001_04_CAR_SF,2788.0,2001,0.0,75.0,10.0
2001_04_CHI_ATL,35.0,2001,0.0,60.0,12.0
2001_04_CHI_ATL,1442.0,2001,0.0,63.0,6.0
2001_04_CHI_ATL,1781.0,2001,0.0,77.0,9.0
2001_04_CHI_ATL,2447.0,2001,0.0,80.0,10.0
2001_04_CHI_ATL,2772.0,2001,0.0,80.0,5.0
2001_04_CHI_ATL,3121.0,2001,0.0,32.0,6.0
2001_04_CHI_ATL,3176.0,2001,0.0,79.0,10.0
2001_04_CIN_PIT,35.0,2001,0.0,84.0,0.0
2001_04_CIN_PIT,890.0,2001,0.0,76.0,10.0
2001_04_CIN_PIT,1329.0,2001,0.0,71.0,12.0
2001_04_CIN_PIT,1761.0,2001,0.0,80.0,12.0
2001_04_CIN_PIT,2862.0,2001,0.0,81.0,9.0
